Anatomical Family Grouping (family),Number of Masks (n),Accept Rate (accept_rate),Area Under ROC Curve (AUC)
airway_neck,155,0.6774193548387096,0.9131428571428571
costal_cartilage,115,0.17391304347826086,0.7252631578947369
digestive,507,0.5384615384615384,0.7830374753451677
great_vessel,1302,0.5814132104454686,0.8118332868760073
heart,176,0.7613636363636364,0.8274697938877043
lung,534,0.897003745318352,0.9457582083886885
muscle,879,0.9306029579067122,0.944586957393082
neuro,217,0.8294930875576036,0.895045045045045
pelvic_bone,368,0.9619565217391305,0.8579499596448749
rib,2182,0.8157653528872594,0.9031332103527308
shoulder_bone,553,0.8661844484629295,0.8568244653839644
solid_abdominal,381,0.7454068241469817,0.860752141716277
urinary,481,0.5758835758835759,0.8578608338642316
vertebrae,1758,0.8742889647326507,0.8124100248176945
